[{I} |08-19 15:55:54.831 1787126154] ---->>[pvr_event_notify] SKYFM_ADD_DEVICE, dev_name:TF卡 disk_status:0

[{E} |08-19 16:44:27.118 1787129067] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{D} |08-19 16:44:27.119 1787129067] mk:[RtmpPusher.cpp:404][event poller 3:operator()] send_metaData rtmp->time_stamp 1787129067047


[{E} |08-19 16:44:27.119 1787129067] mk:[Socket.cpp:906][event poller 3:flushData] flushData

[{E} |08-19 16:44:27.147 1787129067] the mem is: total 74132KB vaild 21676KB free 14400KB buffer 20kB cache 10216KB add 24636kB cpu is 43.37 temp 63 

[{E} |08-19 16:44:27.630 1787129067] mk:[Socket.cpp:906][event poller 3:flushData] flushData

[{E} |08-19 16:44:28.139 1787129068] mk:[Socket.cpp:906][event poller 1:flushData] flushData

[{E} |08-19 16:44:28.649 1787129068] mk:[Socket.cpp:906][event poller 1:flushData] flushData

[{D} |08-19 16:44:28.877 1787129068] ++++++++++++++++time interval is =[246ms]+++++++++++++++++

[{D} |08-19 16:44:28.911 1787129068] st_mb_pic_cal.u32MBSize 675840

[{I} |08-19 16:44:28.912 1787129068] pic_width: 640, pic_height: 360, dst_w: 640, dst_h: 352

[{E} |08-19 16:44:28.915 1787129068] destroy mb_blk: 0x995818

[{I} |08-19 16:44:28.942 1787129068] recv len = 365 socket id = 247 data = POST /xiaopaitech/device_service HTTP/1.1
Host: 192.168.7.221
User-Agent: Xiaopaitech NVR/1.0
Content-Type: application/json; charset=utf-8;
Content-Length: 127
Connection: close
Authorization: Basic m39BzkVm1d0hYV67FkkYh9R3oZk=

{
	"service_type":	"setting",
	"msg_id":	"0",
	"cmd_name":	"SK_SETTING_GET_OSD",
	"ver":	"1.0",
	"channel":	0,
	"sequence":	0
}
[{I} |08-19 16:44:28.942 1787129068] Content-Length:127
[{I} |08-19 16:44:28.942 1787129068] Authorization:m39BzkVm1d0hYV67FkkYh9R3oZk=
[{I} |08-19 16:44:28.942 1787129068] sk xpt get ip = 192.168.7.143 token = m39BzkVm1d0hYV67FkkYh9R3oZk= ok index = 0
[{E} |08-19 16:44:28.942 1787129068] Authorization : m39BzkVm1d0hYV67FkkYh9R3oZk= token : m39BzkVm1d0hYV67FkkYh9R3oZk= 
[{I} |08-19 16:44:28.943 1787129068] cmd_name SK_SETTING_GET_OSD
[{E} |08-19 16:44:29.113 1787129069] ==LYH=num_bboxes=2=select_idx=0==posture.class_id=0=

[{E} |08-19 16:44:29.113 1787129069] ==LYH=tvd=i=0=class_id=0==pose_metric=14.678875=

[{E} |08-19 16:44:29.113 1787129069] ==LYH=tvd=i=1=class_id=0==pose_metric=8.688576=

[{E} |08-19 16:44:29.113 1787129069] ==LYH=tvd=num_bboxes=2=results_ex_count=2==m_pose_class_id=0=

[{E} |08-19 16:44:29.159 1787129069] mk:[Socket.cpp:906][event poller 0:flushData] flushData

[{I} |08-19 16:44:29.437 1787129069] alarm event_type 8 type:0  i 5474
[{I} |08-19 16:44:29.437 1787129069] ===>>>[sk_get_jco_connect_status_L162] s_jco_connect_status=[0]

[{E} |08-19 16:44:29.437 1787129069] snr_id : 0 sk_api_ai_xpt_send_alarm_event buff = {"ser":"alarm","alm":"HD","date":"2026-08-19 16:44:29","data":"","dir":0,"fn":"","fmt":"JPEG"}
[{E} |08-19 16:44:29.438 1787129069] ai_sound_alarm_notify m_alarm_sound_endtime = 0 cur_time 1787129069
[{E} |08-19 16:44:29.438 1787129069] mk:[Socket.cpp:906][event poller 0:flushData] flushData

[{D} |08-19 16:44:29.438 1787129069] mk:[RtspSession.cpp:442][sound_light_ala:operator()] stream=md0_0 private_protocal=2

[{D} |08-19 16:44:29.438 1787129069] mk:[RtspSession.cpp:442][sound_light_ala:operator()] stream=md0_0 private_protocal=2

[{D} |08-19 16:44:29.439 1787129069] mk:[RtspSession.cpp:458][sound_light_ala:operator()] mediastream=md0_1 private_protocal=2

[{D} |08-19 16:44:29.439 1787129069] mk:[RtspSession.cpp:459][sound_light_ala:operator()] alarmstream=md0_0 type=2

[{D} |08-19 16:44:29.439 1787129069] mk:[RtspSession.cpp:458][sound_light_ala:operator()] mediastream=md0_1 private_protocal=2

[{D} |08-19 16:44:29.439 1787129069] mk:[RtspSession.cpp:459][sound_light_ala:operator()] alarmstream=md0_0 type=2

[{D} |08-19 16:44:29.451 1787129069] mk:[RtspSession.cpp:1323][event poller 5:updateRtcpContext] send alarm  size=94 this=0xc398a8

[{E} |08-19 16:44:29.451 1787129069] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{E} |08-19 16:44:29.451 1787129069] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{D} |08-19 16:44:29.451 1787129069] mk:[RtspSession.cpp:1329][event poller 5:updateRtcpContext] send ok this=0xc398a8

[{D} |08-19 16:44:29.451 1787129069] mk:[RtspSession.cpp:1323][event poller 5:updateRtcpContext] send alarm  size=94 this=0xc398a8

[{E} |08-19 16:44:29.451 1787129069] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{E} |08-19 16:44:29.453 1787129069] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{D} |08-19 16:44:29.453 1787129069] mk:[RtspSession.cpp:1329][event poller 5:updateRtcpContext] send ok this=0xc398a8

[{E} |08-19 16:44:29.453 1787129069] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{E} |08-19 16:44:29.959 1787129069] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{E} |08-19 16:44:30.471 1787129070] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{E} |08-19 16:44:30.980 1787129070] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{E} |08-19 16:44:31.186 1787129071] the mem is: total 74132KB vaild 21264KB free 12660KB buffer 20kB cache 11472KB add 24152kB cpu is 36.25 temp 63 

[{E} |08-19 16:44:31.509 1787129071] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{D} |08-19 16:44:31.887 1787129071] ++++++++++++++++time interval is =[236ms]+++++++++++++++++

[08-19 16:44:31.928] Listen failed : ret=-3(ERROR_PPCS_TIME_OUT) m_did:XPTBJA-295210-LULGB m_apilicens:NXZLPY:XPTCBJA
[{I} |08-19 16:44:31.955 1787129071] recv len = 365 socket id = 165 data = POST /xiaopaitech/device_service HTTP/1.1
Host: 192.168.7.221
User-Agent: Xiaopaitech NVR/1.0
Content-Type: application/json; charset=utf-8;
Content-Length: 127
Connection: close
Authorization: Basic m39BzkVm1d0hYV67FkkYh9R3oZk=

{
	"service_type":	"setting",
	"msg_id":	"0",
	"cmd_name":	"SK_SETTING_GET_OSD",
	"ver":	"1.0",
	"channel":	0,
	"sequence":	0
}
[{I} |08-19 16:44:31.956 1787129071] Content-Length:127
[{I} |08-19 16:44:31.956 1787129071] Authorization:m39BzkVm1d0hYV67FkkYh9R3oZk=
[{I} |08-19 16:44:31.956 1787129071] sk xpt get ip = 192.168.7.143 token = m39BzkVm1d0hYV67FkkYh9R3oZk= ok index = 0
[{E} |08-19 16:44:31.956 1787129071] Authorization : m39BzkVm1d0hYV67FkkYh9R3oZk= token : m39BzkVm1d0hYV67FkkYh9R3oZk= 
[{I} |08-19 16:44:31.956 1787129071] cmd_name SK_SETTING_GET_OSD
[{D} |08-19 16:44:31.977 1787129071] st_mb_pic_cal.u32MBSize 675840

[{I} |08-19 16:44:31.978 1787129071] pic_width: 640, pic_height: 360, dst_w: 640, dst_h: 352

[{E} |08-19 16:44:31.981 1787129071] destroy mb_blk: 0x995818

[08-19 16:44:31.987] [xpt_iot] xpt_p2p_server_listen m_did XPTBJA-295210-LULGB 
[08-19 16:44:31.987] sktest:: [14] device p2p online:XPTBJA-295210-LULGB 
[08-19 16:44:31.987] xpt_p2p_server_listen m_apilicens NXZLPY:XPTCBJA 
[{E} |08-19 16:44:32.018 1787129072] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{E} |08-19 16:44:32.165 1787129072] ==LYH=num_bboxes=2=select_idx=0==posture.class_id=1=

[{E} |08-19 16:44:32.165 1787129072] ==LYH=tvd=i=0=class_id=0==pose_metric=14.678871=

[{E} |08-19 16:44:32.165 1787129072] ==LYH=tvd=i=1=class_id=0==pose_metric=6.203709=

[{E} |08-19 16:44:32.165 1787129072] ==LYH=tvd=num_bboxes=2=results_ex_count=2==m_pose_class_id=0=

[{E} |08-19 16:44:32.520 1787129072] mk:[Socket.cpp:906][event poller 0:flushData] flushData

[{E} |08-19 16:44:33.028 1787129073] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{E} |08-19 16:44:33.539 1787129073] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{E} |08-19 16:44:34.039 1787129074] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{E} |08-19 16:44:34.549 1787129074] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{D} |08-19 16:44:34.897 1787129074] ++++++++++++++++time interval is =[278ms]+++++++++++++++++

[{I} |08-19 16:44:35.013 1787129075] recv len = 365 socket id = 249 data = POST /xiaopaitech/device_service HTTP/1.1
Host: 192.168.7.221
User-Agent: Xiaopaitech NVR/1.0
Content-Type: application/json; charset=utf-8;
Content-Length: 127
Connection: close
Authorization: Basic m39BzkVm1d0hYV67FkkYh9R3oZk=

{
	"service_type":	"setting",
	"msg_id":	"0",
	"cmd_name":	"SK_SETTING_GET_OSD",
	"ver":	"1.0",
	"channel":	0,
	"sequence":	0
}
[{I} |08-19 16:44:35.013 1787129075] Content-Length:127
[{I} |08-19 16:44:35.013 1787129075] Authorization:m39BzkVm1d0hYV67FkkYh9R3oZk=
[{I} |08-19 16:44:35.013 1787129075] sk xpt get ip = 192.168.7.143 token = m39BzkVm1d0hYV67FkkYh9R3oZk= ok index = 0
[{E} |08-19 16:44:35.013 1787129075] Authorization : m39BzkVm1d0hYV67FkkYh9R3oZk= token : m39BzkVm1d0hYV67FkkYh9R3oZk= 
[{I} |08-19 16:44:35.013 1787129075] cmd_name SK_SETTING_GET_OSD
[{D} |08-19 16:44:35.044 1787129075] st_mb_pic_cal.u32MBSize 675840

[{I} |08-19 16:44:35.045 1787129075] pic_width: 640, pic_height: 360, dst_w: 640, dst_h: 352

[{E} |08-19 16:44:35.048 1787129075] destroy mb_blk: 0x995818

[{E} |08-19 16:44:35.067 1787129075] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{E} |08-19 16:44:35.138 1787129075] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{D} |08-19 16:44:35.138 1787129075] mk:[RtmpPusher.cpp:404][event poller 3:operator()] send_metaData rtmp->time_stamp 1787129075047


[{E} |08-19 16:44:35.138 1787129075] mk:[Socket.cpp:906][event poller 3:flushData] flushData

[{E} |08-19 16:44:35.227 1787129075] the mem is: total 74132KB vaild 21620KB free 13012KB buffer 20kB cache 11480KB add 24512kB cpu is 51.81 temp 64 

[{E} |08-19 16:44:35.259 1787129075] ==LYH=num_bboxes=3=select_idx=0==posture.class_id=1=

[{E} |08-19 16:44:35.259 1787129075] ==LYH=tvd=i=0=class_id=0==pose_metric=17.336143=

[{E} |08-19 16:44:35.259 1787129075] ==LYH=tvd=i=1=class_id=0==pose_metric=0.255402=

[{E} |08-19 16:44:35.259 1787129075] ==LYH=tvd=num_bboxes=3=results_ex_count=2==m_pose_class_id=0=

[{I} |08-19 16:44:35.270 1787129075] ===>>>[sk_parse_jco_find_data_L1336] jco nvr search package: localip[192.168.7.143] localport[8002]

[{I} |08-19 16:44:35.271 1787129075] ===>>>[sk_parse_jco_find_data_L1345] localip[192.168.7.143] local_mac[2c:cc:e6:8a:30:52]

[{I} |08-19 16:44:35.271 1787129075] sk_app_net_set_onvif_searchip_cb enter 192.168.7.143, nvr_type:2
[{I} |08-19 16:44:35.271 1787129075] frommac:2c:cc:e6:8a:30:52
[{I} |08-19 16:44:35.271 1787129075] ===>>>[sk_api_xpt_set_search_reply_flag_L2091]s_xpt_search_reply_flag=[1] flag=[1]

[{I} |08-19 16:44:35.271 1787129075] ===>>>[sk_api_jco_set_search_reply_flag_L2302]s_jco_search_reply_flag=[1] flag=[1]

[{I} |08-19 16:44:35.271 1787129075] ======================== TEST  {sk_onvif_v2_set_search_replay_flag_35} flag=1

[{E} |08-19 16:44:35.271 1787129075] net is wifi, cancel
[{I} |08-19 16:44:35.271 1787129075] ===>>>[sk_jco_udp_send_resp_L313] pbuf=[SEARCH Device-Solution:sstar
Device-Name:SKYWORTH
Device-Config:PTZ&XPT
Device-DevType:ZCR462-3986
Device-Update:0
Device-Jcpver:V2.00
Device-Channels:1
Device-Mode:md0_0,md0_1,
Device-RtspPort:554
Device-WebPort:80
Device-ID:39860000006
Device-VerKernel:0339863700288880000006-66369
Device-VerServer:ZCR462_V10005_202608031104
Device-VerWeb:60B705D0E4622632vteJ0-010103
Device-NetType:0
Device-IP:192.168.7.221
Device-SubMask:255.255.255.0
Device-GateWay:192.168.7.1
Device-Mac:60:b7:05:d0:e4:62
Device-Time:1787129075
] size=[540]

[{I} |08-19 16:44:35.271 1787129075] ===>>>[sk_jco_udp_send_resp_L329] [single] sendto:[192.168.7.143:8002] sended=540 size=540

[{I} |08-19 16:44:35.271 1787129075] ===>>>[sk_jco_udp_send_resp_L350] [lan] sendto:[192.168.7.255:8002] sended=540 size=540

[{I} |08-19 16:44:35.272 1787129075] ===>>>[sk_jco_udp_send_resp_L370] [broad] sendto:[255.255.255.255:8002] sended=540 size=540

[{E} |08-19 16:44:35.639 1787129075] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{E} |08-19 16:44:36.139 1787129076] mk:[Socket.cpp:906][event poller 1:flushData] flushData

[{E} |08-19 16:44:36.646 1787129076] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{E} |08-19 16:44:37.150 1787129077] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{E} |08-19 16:44:37.669 1787129077] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{D} |08-19 16:44:37.907 1787129077] ++++++++++++++++time interval is =[362ms]+++++++++++++++++

[{D} |08-19 16:44:37.911 1787129077] st_mb_pic_cal.u32MBSize 675840

[{I} |08-19 16:44:37.912 1787129077] pic_width: 640, pic_height: 360, dst_w: 640, dst_h: 352

[{E} |08-19 16:44:37.914 1787129077] destroy mb_blk: 0x995818

[{I} |08-19 16:44:37.941 1787129077] recv len = 365 socket id = 251 data = POST /xiaopaitech/device_service HTTP/1.1
Host: 192.168.7.221
User-Agent: Xiaopaitech NVR/1.0
Content-Type: application/json; charset=utf-8;
Content-Length: 127
Connection: close
Authorization: Basic m39BzkVm1d0hYV67FkkYh9R3oZk=

{
	"service_type":	"setting",
	"msg_id":	"0",
	"cmd_name":	"SK_SETTING_GET_OSD",
	"ver":	"1.0",
	"channel":	0,
	"sequence":	0
}
[{I} |08-19 16:44:37.941 1787129077] Content-Length:127
[{I} |08-19 16:44:37.942 1787129077] Authorization:m39BzkVm1d0hYV67FkkYh9R3oZk=
[{I} |08-19 16:44:37.942 1787129077] sk xpt get ip = 192.168.7.143 token = m39BzkVm1d0hYV67FkkYh9R3oZk= ok index = 0
[{E} |08-19 16:44:37.942 1787129077] Authorization : m39BzkVm1d0hYV67FkkYh9R3oZk= token : m39BzkVm1d0hYV67FkkYh9R3oZk= 
[{I} |08-19 16:44:37.942 1787129077] cmd_name SK_SETTING_GET_OSD
[{E} |08-19 16:44:37.961 1787129077] [0xac6d88]::streamid=5 inject timeout =53199 

[{E} |08-19 16:44:38.091 1787129078] ==LYH=num_bboxes=3=select_idx=0==posture.class_id=1=

[{E} |08-19 16:44:38.092 1787129078] ==LYH=tvd=i=0=class_id=0==pose_metric=19.246521=

[{E} |08-19 16:44:38.092 1787129078] ==LYH=tvd=num_bboxes=3=results_ex_count=1==m_pose_class_id=0=

[{E} |08-19 16:44:38.182 1787129078] mk:[Socket.cpp:906][event poller 0:flushData] flushData

[{E} |08-19 16:44:38.709 1787129078] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{E} |08-19 16:44:39.219 1787129079] mk:[Socket.cpp:906][event poller 0:flushData] flushData

[{E} |08-19 16:44:39.257 1787129079] the mem is: total 74132KB vaild 21536KB free 11792KB buffer 20kB cache 12556KB add 24368kB cpu is 34.57 temp 63 

[{E} |08-19 16:44:39.720 1787129079] mk:[Socket.cpp:906][event poller 1:flushData] flushData

[{I} |08-19 16:44:40.083 1787129080] result:fd event >----send------post_pd_event_type:2 plan endtime:1787130000--<
{E} |[2026-08-19 16:44:40.083][xpt_iot] [xpt_iot_post_intelligent_alarm:6085] : devid: 0, alarm type: 3, alarm_time: 0

{E} |[2026-08-19 16:44:40.083][xpt_mqtt] [post_event_and_data:3021] : post pic -> pictureid:[] chufatime:1787129080083, dev_dk[0339863700288880000006]

[{I} |08-19 16:44:40.084 1787129080] >>>>>text [sk_api_p2p_xpt_user_pic_upload_notify_cb][2878]>>>
[{I} |08-19 16:44:40.084 1787129080] status:0 picture_id:0339863700288880000006_1787129080083_0orn
[{I} |08-19 16:44:40.084 1787129080] [pic_upload] Starting to upload image[0339863700288880000006_1787129080083_0orn],  please do not sleep

[{D} |08-19 16:44:40.084 1787129080] [POST PIC] jpeg_len:40596, event type :3 return success  alarm_alert_time:60
[{I} |08-19 16:44:40.085 1787129080] ---->>[alarm_event_notify] SKYALARM_PD_FD
[{E} |08-19 16:44:40.085 1787129080] push_message error! hsm is SK_INVALID_HSM. hsm=0 message=805343233
{E} |[2026-08-19 16:44:40.088][xpt_mqtt] [post_pic_data2:1803] : http post url https://device.skyworthdigitaliot.com/skyworthCloudStorage/v3.0/uploadByTemporaryPermissions, pic_len:40596 


{E} |[2026-08-19 16:44:40.088][xpt_mqtt] [http_internal_sync_post_file:1512] : post_data start
[{E} |08-19 16:44:40.088 1787129080] [sc_server_test] xpt_iot_syscall_getaddrinfo_cb  host: device.skyworthdigitaliot.com 

[{I} |08-19 16:44:40.088 1787129080] task systemcall getaddrinfo:[device.skyworthdigitaliot.com]
[{E} |08-19 16:44:40.197 1787129080] [sc_server_test] xpt_iot_syscall_getaddrinfo_cb  ipAddress: 121.12.111.51 

{E} |[2026-08-19 16:44:40.197][xpt_mqtt] [update_hosts:228] : update host[device.skyworthdigitaliot.com],ip[121.12.111.51] at 1787129080
[{E} |08-19 16:44:40.230 1787129080] mk:[Socket.cpp:906][event poller 3:flushData] flushData

{E} |[2026-08-19 16:44:40.374][xpt_mqtt] [http_internal_sync_post_file:1584] : post_data over
{E} |[2026-08-19 16:44:40.519][xpt_mqtt] [http_internal_sync_post_file:1649] : http_read_write rece over
[{I} |08-19 16:44:40.519 1787129080] >>>>>text [sk_api_p2p_xpt_user_pic_upload_notify_cb][2878]>>>
[{I} |08-19 16:44:40.519 1787129080] status:1 picture_id:0339863700288880000006_1787129080083_0orn
[{I} |08-19 16:44:40.519 1787129080] [pic_upload] Image[0339863700288880000006_1787129080083_0orn] upload finished, can go to sleep

[{I} |08-19 16:44:40.657 1787129080] alarm event_type 8 type:0  i 5496
[{I} |08-19 16:44:40.657 1787129080] ===>>>[sk_get_jco_connect_status_L162] s_jco_connect_status=[0]

[{E} |08-19 16:44:40.657 1787129080] snr_id : 0 sk_api_ai_xpt_send_alarm_event buff = {"ser":"alarm","alm":"HD","date":"2026-08-19 16:44:40","data":"","dir":0,"fn":"","fmt":"JPEG"}
[{E} |08-19 16:44:40.658 1787129080] ai_sound_alarm_notify m_alarm_sound_endtime = 0 cur_time 1787129080
[{E} |08-19 16:44:40.658 1787129080] mk:[Socket.cpp:906][event poller 3:flushData] flushData

[{D} |08-19 16:44:40.658 1787129080] mk:[RtspSession.cpp:442][sound_light_ala:operator()] stream=md0_0 private_protocal=2

[{D} |08-19 16:44:40.658 1787129080] mk:[RtspSession.cpp:442][sound_light_ala:operator()] stream=md0_0 private_protocal=2

[{D} |08-19 16:44:40.658 1787129080] mk:[RtspSession.cpp:458][sound_light_ala:operator()] mediastream=md0_1 private_protocal=2

[{D} |08-19 16:44:40.658 1787129080] mk:[RtspSession.cpp:459][sound_light_ala:operator()] alarmstream=md0_0 type=2

[{D} |08-19 16:44:40.658 1787129080] mk:[RtspSession.cpp:458][sound_light_ala:operator()] mediastream=md0_1 private_protocal=2

[{D} |08-19 16:44:40.658 1787129080] mk:[RtspSession.cpp:459][sound_light_ala:operator()] alarmstream=md0_0 type=2

[{D} |08-19 16:44:40.669 1787129080] mk:[RtspSession.cpp:1323][event poller 5:updateRtcpContext] send alarm  size=94 this=0xc398a8

[{E} |08-19 16:44:40.669 1787129080] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{E} |08-19 16:44:40.669 1787129080] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{D} |08-19 16:44:40.669 1787129080] mk:[RtspSession.cpp:1329][event poller 5:updateRtcpContext] send ok this=0xc398a8

[{D} |08-19 16:44:40.669 1787129080] mk:[RtspSession.cpp:1323][event poller 5:updateRtcpContext] send alarm  size=94 this=0xc398a8

[{E} |08-19 16:44:40.669 1787129080] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{E} |08-19 16:44:40.670 1787129080] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{D} |08-19 16:44:40.670 1787129080] mk:[RtspSession.cpp:1329][event poller 5:updateRtcpContext] send ok this=0xc398a8

[{E} |08-19 16:44:40.670 1787129080] mk:[Socket.cpp:906][event poller 5:flushData] flushData

[{D} |08-19 16:44:40.917 1787129080] ++++++++++++++++time interval is =[185ms]+++++++++++++++++

[{D} |08-19 16:44:40.917 1787129080] st_mb_pic_cal.u32MBSize 675840

[{I} |08-19 16:44:40.918 1787129080] pic_width: 640, pic_height: 360, dst_w: 640, dst_h: 352

[{E} |08-19 16:44:40.921 1787129080] destroy mb_blk: 0x995818

[{I} |08-19 16:44:40.941 1787129080] recv len = 365 socket id = 251 data = POST /xiaopaitech/device_service HTTP/1.1
Host: 192.168.7.221
User-Agent: Xiaopaitech NVR/1.0
Content-Type: application/json; charset=utf-8;
Content-Length: 127
Connection: close
Authorization: Basic m39BzkVm1d0hYV67FkkYh9R3oZk=

{
	"service_type":	"setting",
	"msg_id":	"0",
	"cmd_name":	"SK_SETTING_GET_OSD",
	"ver":	"1.0",
	"channel":	0,
	"sequence":	0
}
[{I} |08-19 16:44:40.942 1787129080] Content-Length:127
[{I} |08-19 16:44:40.942 1787129080] Authorization:m39BzkVm1d0hYV67FkkYh9R3oZk=
[{I} |08-19 16:44:40.942 1787129080] sk xpt get ip = 192.168.7.143 token = m39BzkVm1d0hYV67FkkYh9R3oZk= ok index = 0
[{E} |08-19 16:44:40.942 1787129080] Authorization : m39BzkVm1d0hYV67FkkYh9R3oZk= token : m39BzkVm1d0hYV67FkkYh9R3oZk= 
[{I} |08-19 16:44:40.942 1787129080] cmd_name SK_SETTING_GET_OSD
[{I} |08-19 16:44:41.060 1787129081] recv len = 367 socket id = 251 data = POST /xiaopaitech/device_service HTTP/1.1
Host: 192.168.7.221
User-Agent: Xiaopaitech NVR/1.0
Content-Type: application/json; charset=utf-8;
Content-Length: 129
Connection: close
Authorization: Basic m39BzkVm1d0hYV67FkkYh9R3oZk=

{
	"service_type":	"setting",
	"msg_id":	"0",
	"cmd_name":	"SK_SETTING_GET_VIDEO",
	"ver":	"1.0",
	"channel":	0,
	"sequence":	0
}
[{I} |08-19 16:44:41.060 1787129081] Content-Length:129
[{I} |08-19 16:44:41.061 1787129081] Authorization:m39BzkVm1d0hYV67FkkYh9R3oZk=
[{I} |08-19 16:44:41.061 1787129081] sk xpt get ip = 192.168.7.143 token = m39BzkVm1d0hYV67FkkYh9R3oZk= ok index = 0
[{E} |08-19 16:44:41.061 1787129081] Authorization : m39BzkVm1d0hYV67FkkYh9R3oZk= token : m39BzkVm1d0hYV67FkkYh9R3oZk= 
[{I} |08-19 16:44:41.061 1787129081] cmd_name SK_SETTING_GET_VIDEO
[{E} |08-19 16:44:41.061 1787129081] resolution:1920*1080 (1080P)
[{I} |08-19 16:44:41.063 1787129081] [sk_api_venc_get,640] i 0 list:2880*1620 (5M),2560*1440 (4M),2304*1296 (3M),1920*1080 (1080P),1280*720 (720P),
[{I} |08-19 16:44:41.063 1787129081] [sk_api_venc_get,664] i 0 list:2880*1620 (5M),2560*1440 (4M),2304*1296 (3M),1920*1080 (1080P),1280*720 (720P),
[{I} |08-19 16:44:41.064 1787129081] resolution:2880*1620 (5M)
[{I} |08-19 16:44:41.064 1787129081] resolution:2560*1440 (4M)
[{I} |08-19 16:44:41.064 1787129081] resolution:2304*1296 (3M)
[{I} |08-19 16:44:41.064 1787129081] resolution:1920*1080 (1080P)
[{I} |08-19 16:44:41.064 1787129081] resolution:1280*720 (720P)
[{I} |08-19 16:44:41.064 1787129081] resolution:
[{E} |08-19 16:44:41.064 1787129081] resolution:640*360 (VGA)
[{I} |08-19 16:44:41.067 1787129081] [sk_api_venc_get,640] i 1 list:640*360 (VGA),352*288 (CIF),320*240 (CIF),
[{I} |08-19 16:44:41.067 1787129081] [sk_api_venc_get,664] i 1 list:640*360 (VGA),352*288 (CIF),320*240 (CIF),
[{I} |08-19 16:44:41.067 1787129081] resolution:640*360 (VGA)
[{I} |08-19 16:44:41.067 1787129081] resolution:352*288 (CIF)
[{I} |08-19 16:44:41.067 1787129081] resolution:320*240 (CIF)
[{I} |08-19 16:44:41.067 1787129081] resolution:
[{E} |08-19 16:44:41.101 1787129081] ==LYH=num_bboxes=2=select_idx=0==posture.class_id=1=

[{E} |08-19 16:44:41.101 1787129081] ==LYH=tvd=i=0=class_id=0==pose_metric=14.678871=

[{E} |08-19 16:44:41.101 1787129081] ==LYH=tvd=i=1=class_id=0==pose_metric=2.627602=

[{E} |08-19 16:44:41.101 1787129081] ==LYH=tvd=num_bboxes=2=results_ex_count=2==m_pose_class_id=0=

[{I} |08-19 16:44:41.112 1787129081] --->>>[sk_xpt_discovery_task_L1610] recvbuf=[{
	"service_type":	"setting",
	"msg_id":	"0",
	"cmd_name":	"SK_LIVE_REQUEST_IFRAME",
	"ver":	"1.0",
	"channel":	0,
	"sequence":	0,
	"stream":	"second",
	"option":	0,
	"iplist":	"192.168.7.221,"
}]

[{I} |08-19 16:44:41.112 1787129081] sender_addr address = 192.168.7.143:60457

[{I} |08-19 16:44:41.112 1787129081] 
--->>>ENTER: [parse_xpt_packet_L1295]

[{I} |08-19 16:44:41.112 1787129081] --->>>[parse_xpt_packet_L1297] buf=[{
	"service_type":	"setting",
	"msg_id":	"0",
	"cmd_name":	"SK_LIVE_REQUEST_IFRAME",
	"ver":	"1.0",
	"channel":	0,
	"sequence":	0,
	"stream":	"second",
	"option":	0,
	"iplist":	"192.168.7.221,"
}] length=[195]

[{I} |08-19 16:44:41.112 1787129081] 
--->>>ENTER: [get_json_to_struct_L940]

[{I} |08-19 16:44:41.112 1787129081] --->>> [get_json_to_struct_L975] length=[195] json_str_format=[{
	"service_type":	"setting",
	"msg_id":	"0",
	"cmd_name":	"SK_LIVE_REQUEST_IFRAME",
	"ver":	"1.0",
	"channel":	0,
	"sequence":	0,
	"stream":	"second",
	"option":	0,
	"iplist":	"192.168.7.221,"
}]

[{I} |08-19 16:44:41.113 1787129081] 
--->>>ENTER: [get_json_to_struct_L1148] msg_id=[0]

[{I} |08-19 16:44:41.113 1787129081] --->>>[parse_xpt_packet_L1304] CMD_NAME=[SK_LIVE_REQUEST_IFRAME]

[{I} |08-19 16:44:41.113 1787129081] enter sk_hdi_venc_acquire_iframe
